,method,topic,X,X-symptoms,symptoms-of-X
0,aio,adrenal fatigue,1,1.0,0.666666667
1,aio,autistic enterocolitis,1,1.0,0.5
2,aio,candida hypersensitivity,1,0.5,0.0
3,aio,chronic lyme disease,1,0.0,0.0
4,aio,electromagnetic hypersensitivity,1,1.0,1.0
5,aio,excited delirium,1,0.0,0.0
6,aio,leaky gut syndrome,1,0.666666667,0.333333333
7,aio,morgellons,1,1.0,1.0
8,aio,multiple chemical sensitivity,1,1.0,1.0
9,aio,rope worms,1,1.0,0.333333333
10,aio,shoenfeld's syndrome,1,0.0,0.0
11,aio,vaccine overload,1,0.0,
12,aio,wind turbine syndrome,1,1.0,1.0
13,perplexity,adrenal fatigue,1,1.0,1.0
14,perplexity,autistic enterocolitis,1,0.0,0.0
15,perplexity,candida hypersensitivity,1,1.0,1.0
16,perplexity,chronic lyme disease,1,0.0,0.0
17,perplexity,electromagnetic hypersensitivity,1,1.0,1.0
18,perplexity,excited delirium,1,1.0,0.0
19,perplexity,leaky gut syndrome,1,1.0,1.0
20,perplexity,morgellons,1,1.0,1.0
21,perplexity,multiple chemical sensitivity,1,1.0,1.0
22,perplexity,rope worms,1,1.0,1.0
23,perplexity,shoenfeld's syndrome,1,0.0,0.0
24,perplexity,vaccine overload,1,1.0,1.0
25,perplexity,wind turbine syndrome,1,1.0,0.0
